##	2.4G, 40M, 1T, HT, //(MCS0~MCS7)						
##	START
##	#8#	FCC	ETSI	MKK	IC	KCC	ACMA	CHILE	UKRAINE
CH01	NA	NA	NA	NA	NA	NA	NA	NA
CH02	NA	NA	NA	NA	NA	NA	NA	NA
CH03	13	15	15	13	15	15	13	15
CH04	13	15	15	13	15	15	13	15
CH05	15	15	15	15	15	15	15	15
CH06	15	15	15	15	15	15	15	15
CH07	15	15	15	15	15	15	15	15
CH08	13	15	15	13	15	15	13	15
CH09	13	15	15	13	15	15	13	15
CH10	14	15	15	14	15	15	14	15
CH11	10	15	15	10	15	15	10	15
CH12	NA	NA	NA	NA	NA	NA	NA	NA
CH13	NA	NA	NA	NA	NA	NA	NA	NA
CH14	NA	NA	NA	NA	NA	NA	NA	NA
##	END						
//							
//Table 5: ===========================================							
//							
##	5G, 20M, 1T, OFDM, //(6M;9M;12M;18M;24M;36M;48M;54M)						
##	START
##	#8#	FCC	ETSI	MKK	IC	KCC	ACMA	CHILE	UKRAINE
//5G Band 1							
CH36	15.5	16	16.5	15.5	14.5	16	14.5	13.5
CH40	16.5	16	16.5	15.5	14	16	14.5	13.5
CH44	16.5	16	16.5	15.5	14	16	15	13.5
CH48	15.5	16	16.5	15.5	13.5	16	15	13.5
//5G Band 2       	  						
CH52	16.5	16	16.5	16	8	16	15	13.5
CH56	16.5	16	16.5	16	16.5	16	15	13.5
CH60	16.5	16	16.5	16	16.5	16	15	13.5
CH64	15	16	16.5	15	16.5	16	14.5	13.5
//5G Band 3           							
CH100	15	16	16.5	15	16.5	16	15	13.5
CH104	16.5	16	16.5	16.5	16.5	16	15	13.5
CH108	16.5	16	16.5	16.5	16.5	16	15	13.5
CH112	16.5	16	16.5	16.5	16.5	16	15	13.5
CH116	16.5	16	16.5	16.5	16.5	16	15	13.5
CH120	16.5	16	16.5	NA	16.5	NA	15	13.5
CH124	16.5	16	16.5	NA	16.5	NA	15	13.5
CH128	16.5	16	16.5	NA	WW	NA	15	13.5
CH132	16.5	16	16.5	16.5	WW	16	15	13.5
CH136	16.5	16	16.5	16.5	WW	16	15	NA
CH140	15.5	16	16.5	15.5	WW	16	15	NA
CH144	15	NA	NA	15	WW	NA	15	NA
//5G Band 4       	  						
CH149	16.5	WW	NA	15	16.5	16.5	15	13.5
CH153	16.5	WW	NA	16.5	16.5	16.5	15	13.5
CH157	16.5	WW	NA	16.5	16.5	16.5	15	13.5
CH161	16.5	WW	NA	16.5	15.5	16.5	15	13.5
CH165	16.5	WW	NA	16.5	WW	16.5	15	13.5
##	END						
//							
//Table 6: ======================================							
//							
##	5G, 20M, 1T, HT, //(MCS0~MCS7)						
##	START
##	#8#	FCC	ETSI	MKK	IC	KCC	ACMA	CHILE	UKRAINE
//5G Band 1							
CH36	15	16	16.5	15	13.5	16	15	13.5
CH40	16.5	16	16.5	15.5	14.5	16	15	13.5
CH44	16.5	16	16.5	15.5	14.5	16	15	13.5
CH48	16.5	16	16.5	15.5	13	16	15	13.5
//5G Band 2 				  			 
CH52	16.5	16	16.5	16	3.5	16	15	13.5
CH56	16.5	16	16.5	16	16.5	16	15	13.5
CH60	16.5	16	16.5	16	16.5	16	15	13.5
CH64	15	16	16.5	15	16.5	16	15	13.5
//5G Band 3 				  			 
CH100	15	16	16.5	15	16.5	16	15	13.5
CH104	16.5	16	16.5	16.5	16.5	16	15	13.5
CH108	16.5	16	16.5	16.5	16.5	16	15	13.5
CH112	16.5	16	16.5	16.5	16.5	16	15	13.5
CH116	16.5	16	16.5	16.5	16.5	16	15	13.5
CH120	16.5	16	16.5	NA	16.5	NA	15	13.5
CH124	16.5	16	16.5	NA	16.5	NA	15	13.5
CH128	16.5	16	16.5	NA	WW	NA	15	13.5
CH132	16.5	16	16.5	16.5	WW	16	15	13.5
CH136	16.5	16	16.5	16.5	WW	16	15	NA
CH140	14.5	16	16.5	14.5	WW	16	15	NA
CH144	13.5	NA	NA	13.5	WW	NA	15	NA
//5G Band 4 				  			 
CH149	16.5	WW	NA	16.5	16.5	16.5	15	13.5
CH153	16.5	WW	NA	16.5	16.5	16.5	15	13.5
CH157	16.5	WW	NA	16.5	16.5	16.5	15	13.5
CH161	16.5	WW	NA	16.5	15.5	16.5	15	13.5
CH165	16.5	WW	NA	16.5	WW	16.5	15	13.5
##	END						
//							
//Table 7: ===========================================							
//                							
##	5G, 40M, 1T, HT, //(MCS0~MCS7)						
##	START
##	#8#	FCC	ETSI	MKK	IC	KCC	ACMA	CHILE	UKRAINE
//5G Band 1							
CH38	11	16	16	11	13	16	11	13.5
CH46	16	16	16	16	14	16	15	13.5
//5G Band 2       	  								
CH54	16	16	16	16	11	16	15	13.5
CH62	11.5	16	16	11.5	15.5	16	11.5	13.5
//5G Band 3       							
CH102	10.5	16	16	10.5	15.5	16	15	13.5
CH110	16	16	16	16	16	16	15	13.5
CH118	16	16	16	NA	16	NA	15	13.5
CH126	16	16	16	NA	WW	NA	15	13.5
CH134	16	16	16	16	WW	16	15	NA
CH142	14.5	NA	NA	14.5	WW	NA	15	NA
//5G Band 4         							
CH151	16	WW	NA	16	13.5	16	15	13.5
CH159	16	WW	NA	16	13	16	15	13.5
##	END       						
//                							
//Table 8: ===========================================							
//							
##	5G, 80M, 1T, VHT, //(MCS0~MCS9)						
##	START
##	#8#	FCC	ETSI	MKK	IC	KCC	ACMA	CHILE	UKRAINE
//5G Band 1							
CH42	9.5	16	14	9.5	12.5	16	9.5	13.5
//5G Band 2       	  						
CH58	11	16	14	11	14	16	11	13.5
//5G Band 3       	  						
CH106	9	16	16	9	15	16	15	13.5
CH122	16	16	16	NA	13	NA	15	13.5
CH138	14	NA	NA	14	WW	NA	15	NA
//5G Band 4       	  						
CH155	16	WW	NA	16	13.5	16	15	13.5
##	END									
